	cyrnaeus	achillis	bolognai	bornensis	giachinoi	iulianae	konradi	lanai	lucifer	lucifuga	nigraerosae	pedemontanus	pluto	vignai
cyrnaeus	0.61	0.17	0.22	0.21	0.39	0.38	0.1	0.13	0.22	0.29	0.21	0.11	0.23	0.21
achillis	1	0.59	0.16	0.13	0.23	0.25	0.15	0.12	0.15	0.23	0.08	0.13	0.19	0.05
bolognai	1	1	0.67	0.22	0.28	0.21	0.13	0.2	0.3	0.39	0.2	0.14	0.34	0.2
bornensis	1	0.95	0.96	9.04	0.2	0.34	0.19	0.09	0.21	0.22	0.05	0.15	0.17	0.11
giachinoi	1	1	1	0.98	6.26	0.27	0.34	0.28	0.32	0.33	0.18	0.31	0.31	0.2
iulianae	1	1	1	1	1	0.88	0.32	0.35	0.34	0.44	0.29	0.33	0.41	0.26
konradi	0.96	1	1	0.99	1	1	1.36	0.13	0.26	0.33	0.19	0.04	0.28	0.19
lanai	0.97	0.99	1	0.95	1	1	0.98	1.25	0.19	0.23	0.11	0.09	0.17	0.13
lucifer	1	1	1	1	1	1	1	1	0.8	0.13	0.18	0.24	0.11	0.14
lucifuga	1	1	1	1	1	1	1	1	0.89	2.36	0.22	0.3	0.06	0.2
nigraerosae	1	0.88	1	0.92	0.96	1	1	0.96	1	1	1.86	0.15	0.17	0.06
pedemontanus	0.98	1	0.95	0.98	1	1	0.58	0.96	1	1	1	1.48	0.25	0.17
pluto	1	0.92	1	0.97	1	1	1	1	0.95	0.8	0.96	1	5.61	0.16
vignai	1	0.78	1	0.94	1	1	1	0.99	1	1	0.81	1	0.88	2
