"cyrnaeus"	"achillis"	"bolognai"	"bornensis"	"giachinoi"	"iulianae"	"konradi"	"lanai"	"lucifer"	"lucifuga"	"nigraerosae"	"pedemontanus"	"pluto"	"vignai"
"cyrnaeus"	0.51	0.16	0.2	0.21	0.37	0.36	0.09	0.12	0.22	0.29	0.19	0.09	0.24	0.2
"achillis"	1	0.52	0.16	0.12	0.23	0.24	0.16	0.12	0.15	0.24	0.08	0.14	0.2	0.05
"bolognai"	1	1	0.57	0.21	0.28	0.22	0.12	0.2	0.3	0.4	0.2	0.14	0.35	0.2
"bornensis"	1	0.96	0.96	10.31	0.19	0.32	0.2	0.1	0.21	0.24	0.05	0.16	0.19	0.11
"giachinoi"	1	1	1	0.98	5.16	0.27	0.34	0.28	0.31	0.34	0.19	0.31	0.32	0.2
"iulianae"	1	1	1	1	1	0.74	0.32	0.35	0.33	0.44	0.3	0.33	0.42	0.26
"konradi"	0.98	1	1	0.99	1	1	1.36	0.13	0.27	0.35	0.19	0.04	0.3	0.21
"lanai"	0.97	0.99	0.99	0.96	1	1	0.98	1.31	0.2	0.24	0.1	0.09	0.18	0.14
"lucifer"	1	1	1	1	1	1	1	1	0.83	0.13	0.17	0.25	0.12	0.13
"lucifuga"	1	1	1	1	1	1	1	1	0.88	1.99	0.22	0.32	0.06	0.2
"nigraerosae"	1	0.89	1	0.92	0.98	1	1	0.92	1	1	2.15	0.16	0.17	0.07
"pedemontanus"	0.98	1	0.96	0.98	1	1	0.55	0.98	1	1	1	1.64	0.27	0.18
"pluto"	1	0.93	1	0.97	1	1	1	1	0.96	0.84	0.95	1	5.8	0.17
"vignai"	1	0.78	1	0.94	1	1	1	1	1	1	0.83	1	0.91	1.66
